Dzongkhag,dzongkhagCode,gewog/thromde,gewog/thromde code,chiwog/lap,chiwogLapCode,eaCode,EA Description,hhCount
Zhemgang,20,Bardo,1,Khomshar,3,2,"East- Bardo Chewog, West- Langdorbi Chewog, North- Chamkhar Chu, South- Road towards Zhemgang",49
Zhemgang,20,Goshing,3,Lichibi,3,1,,49
Zhemgang,20,Nangkor,4,Duenmang,3,1,,57
Zhemgang,20,Ngangla,5,Ngangla Trong,3,1,,44
Zhemgang,20,Ngangla,5,Ribati,5,1,,51
Zhemgang,20,Phangkhar,6,Panabi,3,1,,46
Zhemgang,20,Shingkhar,7,Radhi,2,1,,22
Zhemgang,20,Shingkhar,7,Thrisa,4,1,,57
Zhemgang,20,Trong,8,Berti_Tagma,1,3,"South- Tingtibi Town, North- Tamala, West- Goling camp, East- Barpang village",65
Zhemgang,20,Trong,8,Gongphu,3,2,East- Forest             west-Chakharbi Village.              North- way towards Panbang South- Gomphu Lhakhang,40
Chhukha,2,Phuentshogling Thromde,51,Toorsatar,1,1,Toorsatar,131
Chhukha,2,Phuentshogling Thromde,51,Amo Chu lap,2,7,Kidu shelter,32
Chhukha,2,Phuentshogling Thromde,51,Amo Chu lap,2,19,Kidu shelter,15
Chhukha,2,Phuentshogling Thromde,51,Dhamdara lap,3,1,Ashi S. Dorji Area,81
Chhukha,2,Phuentshogling Thromde,51,Dhamdara lap,3,3,Above Mid Point Hotel,89
Chhukha,2,Phuentshogling Thromde,51,Core b,5,1,FCB area and Near by lower secondary school area,102
Chhukha,2,Phuentshogling Thromde,51,Core c,6,6,NPPF Colony 6,12
Chhukha,2,Phuentshogling Thromde,51,Core d,7,2,Hotel Seluon & Tshenden Enterprise Area,39
Chhukha,2,Phuentshogling Thromde,51,Core e,8,5,Truck Parking Area,30
Chhukha,2,Phuentshogling Thromde,51,Core g,10,2,Tashi Commercial & Zangtopelri Area,41
Chhukha,2,Phuentshogling Thromde,51,Core h,11,4,Norgay and Corcodile area,75
Chhukha,2,Phuentshogling Thromde,51,Core j,13,3,RICB & BOB Area,23
Chhukha,2,Phuentshogling Thromde,51,Core l,15,3,PWD Colony 1,37
Chhukha,2,Phuentshogling Thromde,51,Core m,16,4,Part of RBA compund and Archery ground,39
Chhukha,2,Phuentshogling Thromde,51,Kabraytar LAP,17,5,Indian consulate area (3II),154
Chhukha,2,Phuentshogling Thromde,51,Rinchending,18,4,Kharbandi gonba Area,82
Chhukha,2,Phuentshogling Thromde,51,Pekarzhing LAP,21,1,Upper Toribari Area (Zimdra food Product & Neethsel Pvt. Ltd. ),117
Chhukha,2,Phuentshogling Thromde,51,Pasakha Lap,22,6,Gurung Dangra (d),25
Chhukha,2,Phuentshogling Thromde,51,Pasakha Lap,22,23,Druk Cement Area,34
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Core,1,1,Gup Sonam Residence & RBP Colony,37
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Core,1,4,Forest office Area & Zambala Hotel,20
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Core,1,5,"Shops, Hotels & RBP Office Area",64
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Core,1,7,Agarwal Cloth Store to Chimi Child Care Center,46
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Core,1,9,Namgay Grocery Tshongkhang to Vegetable Markets,78
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Core,1,10,Lower Market ( Panchali Sports shop),37
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Core,1,11,Lower Market (Hotel Park area),41
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Core,1,12,Norbooz Enterprise & FCB Auction yard Area,33
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Service Center,2,2,RBA & BOD Area,46
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Service Center,2,3,Pema Workshop Area,56
Samdrup Jongkhar,11,Samdrup Jongkhar Thromde,51, Service Center,2,5,Samdrup Jongkhar Primary School,28
